1,114300
2,114200
3,114800
4,94700
5,119800
6,114600
7,151600
8,150700
9,119200
10,104000
11,132500
12,123000
13,102600
14,126300
15,176800
16,145800
17,147100
18,83600
19,111400
20,167200
21,116200
22,113800
23,91700
24,106100
25,156400
26,149300
27,137000
28,99300
29,69100
30,188000
31,182000
32,112300
33,135000
34,139600
35,117800
36,117100
37,117500
38,147000
39,131300
40,108200
41,106600
42,133600
43,105600
44,154000
45,166500
46,103200
47,129800
48,90300
49,115900
50,107500
51,151100
52,91100
53,117400
54,130800
55,81300
56,125700
57,140900
58,152300
59,138100
60,155400
61,180900
62,100900
63,161300
64,120500
65,130300
66,111100
67,126200
68,151900
69,93600
70,165600
71,166700
72,157600
73,107300
74,125700
75,144200
76,106900
77,129800
78,176500
79,121300
80,143600
81,143400
82,184300
83,164800
84,147700
85,90500
86,188300
87,102700
88,172500
89,127700
90,97800
91,143100
92,116500
93,142600
94,157100
95,160600
96,152500
97,133300
98,126800
99,145500
100,171000
101,103200
102,123100
103,136800
104,211200
105,82300
106,146900
107,108500
108,134000
109,117000
110,108700
111,111600
112,114900
113,123600
114,115700
115,124500
116,102500
117,199500
118,117800
119,150200
120,109700
121,110400
122,105600
123,144800
124,119700
125,147900
126,113500
127,149900
128,124600
